experiment_id,date,goal,control_parameter,temperature_c,particle_density,alignment_score,stability_score,cost_estimate_eur,time_estimate_hours,outcome_status,novelty_score,notes_summary
EXP001,2026-05-02,Improve alignment,low_field,22,0.30,0.42,0.61,120,5,partial_success,0.40,Low field improved stability but alignment remained weak
EXP002,2026-05-04,Improve alignment,medium_field,22,0.30,0.56,0.58,140,5,partial_success,0.45,Moderate alignment improvement with slightly reduced stability
EXP003,2026-05-06,Improve alignment,high_field,22,0.30,0.68,0.39,180,6,failed,0.50,Alignment increased but system became unstable
EXP004,2026-05-09,Improve alignment,medium_field,25,0.30,0.60,0.54,150,5,partial_success,0.48,Higher temperature gave small alignment gain
EXP005,2026-05-12,Improve alignment,medium_field,22,0.35,0.63,0.51,155,6,partial_success,0.52,Higher density improved alignment but reproducibility was mixed
EXP006,2026-05-15,Reduce instability,low_field,22,0.35,0.46,0.69,130,5,success,0.38,Very stable condition but alignment too low for target
EXP007,2026-05-18,Improve alignment,gradient_field,22,0.35,0.66,0.57,170,7,success,0.74,Promising trade-off between alignment and stability
EXP008,2026-05-21,Improve alignment,pulsed_field,22,0.35,0.71,0.48,190,8,partial_success,0.82,Best alignment so far but stability and runtime are concerns
EXP009,2026-05-24,Reduce cost,medium_field,22,0.28,0.53,0.60,110,4,success,0.30,Cheap and stable baseline condition
EXP010,2026-05-27,Improve alignment,gradient_field,25,0.35,0.69,0.55,175,7,success,0.76,Temperature increase did not hurt performance much
EXP011,2026-05-30,Improve alignment,pulsed_field,25,0.35,0.73,0.43,210,8,failed,0.84,Highest alignment but instability exceeded acceptable level
EXP012,2026-06-02,Balance alignment and stability,adaptive_field,22,0.33,0.67,0.64,220,9,success,0.90,Best overall trade-off but expensive and slightly slow
